Company_ID,Legal_Entity_Name,PAN_Number,Financial_Year,Quarter,Customer_ID,Customer_Name,TAN_Number,Invoice_Number,Invoice_Date,Invoice_Amount,GST_Amount,Payment_Date,Gross_Payment,Payment_Method,Bank_Name,Bank_Account_Number,Receipt_Reference,TDS_Applicable,TDS_Section,TDS_Rate,TDS_Deducted,Form26AS_Credit,AIS_Credit,Difference_Amount,Credit_Status,Compliance_Status,Evidence_Status,Risk_Score,Narration
1,Demizz,XYZW5678P,2020,Q2,1,Miquela Delahunt,LMNO90123Q,INV-2020-000456,3/10/2020,6213.24,594.26,1/24/2020,7903.18,Credit Card,Jaloo,6212594519,UTR250402000456,false,194J,3.3,934.62,179.87,180.33,222.8,Matched,Compliant,Partial,2,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum."
2,Wikibox,XYZW5678P,2020,Q3,2,Kenn Stive,LMNO90123Q,INV-2020-000123,2/23/2021,2080.33,659.73,7/26/2020,2630.23,Bank Transfer,Kare,3146871266,TXN250401000123,false,194IA,7.08,461.29,35.63,88.25,-0.47,Matched,Needs Review,Ready,8,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis."
3,Midel,LMNO9012Q,2020,Q2,3,Judon Bowler,ABCD12345E,INV-2021-000789,9/29/2021,5164.78,422.26,11/28/2021,4862.78,Bank Transfer,Bubblebox,8361033571,TXN250401000123,false,194IA,5.44,505.87,439.33,276.82,498.92,Matched,Compliant,Ready,3,Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.
4,Thoughtbridge,ABCDE1234F,2020,Q1,4,Sibel Pinshon,ABCD12345E,INV-2020-000123,3/16/2020,4929.25,375.12,10/20/2021,5915.72,Credit Card,Tanoodle,5482464997,UTR250401000123,true,194J,6.45,659.16,417.22,435.88,284.38,Matched,Needs Review,Ready,8,"Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum."
5,Skiptube,LMNO9012Q,2021,Q3,5,Carolina McCalister,LMNO90123Q,INV-2020-000456,1/6/2021,7955.3,507.05,5/17/2021,2034.04,Cheque,Wordtune,6854281444,TXN250401000123,true,194IA,7.22,891.64,418.5,271.49,88.98,Missing Credit,Compliant,Partial,8,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat."
6,Zoomdog,LMNO9012Q,2021,Q3,6,Eddy Flewan,ABCD12345E,INV-2020-000123,11/28/2021,5863.82,145.74,5/6/2021,9489.2,Credit Card,Tekfly,9791365214,UTR250401000123,false,194C,2.81,392.99,441.17,492.01,-405.02,Matched,Compliant,Missing,1,"Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti."
7,Wordpedia,XYZW5678P,2021,Q2,7,Fabien Le land,WXYZ67890P,INV-2021-000789,1/13/2021,1005.22,307.46,2/16/2021,9506.41,Credit Card,Myworks,6039853811,TXN250401000123,true,194IA,8.99,249.01,278.24,62.89,137.71,Matched,Escalated,Partial,10,"Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."
8,Livepath,LMNO9012Q,2021,Q1,8,Granville Fatscher,WXYZ67890P,INV-2021-000789,12/22/2020,1308.8,585.31,6/1/2021,4486.7,Cheque,Gabcube,1109662427,UTR250401000123,true,194C,6.26,682.55,468.26,226.57,452.24,Section Mismatch,Escalated,Partial,7,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros."
9,Tazzy,ABCDE1234F,2020,Q4,9,Irina Uff,ABCD12345E,INV-2021-000789,12/9/2020,7529.89,444.74,6/3/2021,4747.62,Cheque,Edgeblab,7008742404,UTR250401000123,false,194IA,8.82,167.25,97.19,459.1,-368.17,Section Mismatch,Needs Review,Ready,1,In hac habitasse platea dictumst.
10,Zoomzone,XYZW5678P,2020,Q4,10,Shellysheldon Luppitt,ABCD12345E,INV-2020-000123,1/28/2020,3050.99,453.48,12/6/2020,1316.16,Cheque,Flipstorm,8059881467,UTR250401000123,false,194C,7.94,689.5,462.04,147.32,-40.97,Section Mismatch,Escalated,Partial,2,Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus.
